day,month,year,dayname,season,stadium,city,state,attendance,capacity,game_id,summary
26,February,2016,Friday,2015,Madison Square Garden,New York City,New York,19800,19800,1753,"On Friday, the New York Knicks (recording a 25 - 35 season) triumphed over the Orlando Magic (who sit at 25 - 32) with a score of 108 - 95. The Magic arrived in New York after suffering a significant 130 - 114 loss the previous day against the reigning NBA champions in Orlando. Seizing the opportunity against likely fatigued opponents, the Knicks established a 62 - 44 lead by halftime. Although the Magic appeared somewhat rejuvenated at the start of the second half, the Knicks maintained control throughout the game, ultimately securing a comfortable victory by double digits. In various statistical categories, New York edged out Orlando, boasting 46 percent shooting from the field compared to the Magic's 42 percent, an edge of 25 percent to 22 percent from three-point range, and a 51 - 47 advantage on rebounds.

Nikola Vucevic led Orlando's efforts with an admirable 18 points, alongside eight rebounds, one assist, and one steal. Aaron Gordon continued his impressive performance streak, contributing 17 points, eight rebounds, two assists, and a steal. Victor Oladipo added 16 points along with six rebounds, three assists, a steal, and a block. Dewayne Dedmon was impactful off the bench, scoring 12 points and grabbing three rebounds with a steal. Rookie Mario Hezonja also had a noteworthy performance in his 26 minutes on the court, contributing eight points, seven rebounds, three assists, and two steals. Currently, the Magic find themselves at the bottom of the Southeast Division in the Eastern Conference, trailing the eighth-seeded Charlotte Hornets by five games. They will return home on Sunday to face the Philadelphia 76ers.

On the Knicks' side, Carmelo Anthony led the team with an impressive double-double, scoring 19 points, pulling down 11 rebounds, and dishing out six assists along with a steal. Kristaps Porzingis closely followed with 18 points, six rebounds, two assists, two steals, and two blocks. Each of the remaining starters also contributed significantly, scoring 14 points apiece. Arron Afflalo surprisingly grabbed 12 rebounds to accompany his scoring, as well as providing three assists and a steal. Robin Lopez added eight boards, a steal, and two blocks to his tally, while Jose Calderon pitched in with three rebounds and one assist. Even the bench made significant contributions, with Derrick Williams and Lance Thomas each scoring 11 points. Williams added three rebounds, while Thomas contributed three boards, an assist, and a steal. The Knicks currently hold third place in the Atlantic Division of the Eastern Conference and are five and a half games behind the Charlotte Hornets, preparing to host the Miami Heat on Sunday."
9,November,2016,Wednesday,2016,Verizon Center,Washington,Washington,12700,20400,3653,"On Wednesday at Verizon Center, the Washington Wizards secured a decisive victory over the Boston Celtics, winning 118-93. The Wizards, now sitting at a record of 2-5, dominated from the outset, racking up 34 points in the first quarter. This explosive start featured a remarkable 16-0 run that allowed them to establish an early 18-2 lead just past the six-minute mark of the opening period. Otto Porter was instrumental in this triumph, scoring a personal best of 34 points, alongside 14 rebounds, four assists, three steals, and three blocks. The Wizards showcased impressive shooting performance, achieving a 50% rate from the field and 48% from three-point territory. The Celtics, who dropped to 3-4, were led by Isaiah Thomas with 23 points, 10 assists, and six rebounds, followed closely by Avery Bradley, who added 21 points, three rebounds, and two assists. Amir Johnson was the only other starter to score in double digits with 11 points, while the Celtics' bench was highlighted by Marcus Smart, who contributed 20 points, three rebounds, an assist, and a steal. John Wall supported the Wizards with 19 points, seven assists, three rebounds, a steal, and a block, while Marcin Gortat chimed in with 13 points and nine rebounds. Bradley Beal struggled in his short stint—only scoring three points in 11 minutes before leaving due to hamstring tightness. The comfortable lead allowed for additional playing time for Marcus Thornton and Trey Burke, who scored 16 and 18 points, respectively. Looking ahead, the Celtics will return home to take on the Knicks on Friday, while the Wizards have a match-up against the Cavaliers the same evening. The Wizards' impressive first-quarter performance, bolstered by Porter’s standout game, set the tone early, while Thomas and Bradley led the Celtics' scoring, but their efforts weren’t enough as the rest of the starting lineup combined for a mere 20 points. Despite Smart’s solid bench output, the Celtics could not close the gap."
6,February,2016,Saturday,2015,AT&T Center,San Antonio,California,18400,18400,2201,"On Saturday, the San Antonio Spurs (43-8) managed to secure a narrow victory against the Los Angeles Lakers (11-42), finishing 106-102. Though the game had the potential for a lopsided score, the Lakers displayed resilience and remained competitive throughout. Entering the fourth quarter, the Spurs found themselves trailing, yet they managed to outscore the Lakers by six points in the final period. A key factor in the outcome was the disparity in assists, with San Antonio recording 27 compared to Los Angeles' 19. The Spurs shot an impressive 44% from the field, while they limited the Lakers to less than 40%. Despite being 17-point underdogs, the Lakers fought hard despite the loss, with Kobe Bryant leading their scoring with 25 points. Julius Randle also contributed significantly, posting 15 points, 17 rebounds, and four assists. Jordan Clarkson added 21 points, six rebounds, and four assists of his own. The Lakers prepare for their next matchup against the Indiana Pacers on Monday. Meanwhile, the Spurs typically dominate at home with an average margin of nearly 20 points, though this game proved to be one of their most challenging at the AT&T Center this season. LaMarcus Aldridge was a standout performer, scoring 26 points and grabbing nine rebounds. Kawhi Leonard also had an impressive outing with 20 points, 13 rebounds, and three assists. This win marks the Spurs' 37th consecutive victory at home, with 28 of those occurring this season. San Antonio will take a brief hiatus before facing off against the Miami Heat on the road come Tuesday."
4,November,2016,Friday,2016,American Airlines Center,Dallas,Texas,19500,19200,3077,"Amidst the buzz surrounding the remarkable starts of numerous superstars, Damian Lillard continued to stand out on Friday night. Over the course of six games, Lillard is averaging just over 34 points per game with an impressive shooting percentage exceeding 52 percent. His 42-point performance on Friday represented his highest scoring game this season, a feat that showcases his consistent scoring ability; throughout these six games, he has not fallen below 27 points and has surpassed the 35-point mark three times. 

On the other hand, Harrison Barnes, who joined the Mavericks during the offseason, has experienced a change in his responsibilities with the team. Transitioning from a crowd-pleased Golden State offense, Barnes has found himself with the ball in his hands more frequently in Dallas. He contributed 17 points on Friday, maintaining his status as the Mavericks' leading scorer, having scored in double digits in all five of the team’s games thus far.

The Portland Trail Blazers triumphed over the Dallas Mavericks on Friday night, securing a 105-95 victory, fueled by Lillard's incredible 42 points. The contest remained competitive until the fourth quarter, with Portland (3-3) clinging to a slender three-point lead heading into the final period. Lillard made sure it was his moment to shine, delivering his season's peak performance. His 42 points on 12-of-18 shooting compensated for a quieter night from backcourt partner C.J. McCollum, who managed just nine points, as well as a bench that combined for only 14 points. The Blazers focused heavily on perimeter scoring, racking up 36 points from beyond the arc, including 15 from Lillard himself.

Meanwhile, the Mavericks (0-5) fell to another defeat on Friday, continuing their winless streak in the 2016-17 season while grappling with major shooting woes. These issues persisted against Portland, with the team only making 41 percent of its field goals. Veteran leader Dirk Nowitzki made his return after dealing with illness, playing 16 minutes but contributing a mere five points on 2-of-6 shooting. Shooting guard Wesley Matthews had a lackluster performance as well, going 1-of-6 with no rebounds and one assist over 29 minutes. As Portland prepares to take on Memphis on Sunday, Dallas will seek its first win as they play host to Milwaukee."
27,December,2016,Tuesday,2016,American Airlines Arena,Miami,Florida,20000,19600,2805,"Throughout the season, Westbrook has effortlessly showcased his ability to secure triple-doubles, and he repeated that feat yet again during this victory. He wrapped up the game with a stat line of 29 points, 17 rebounds, and 11 assists, marking his 15th triple-double for the season. The statistical overview for the Thunder was heavily skewed in their favor, demonstrating their dominance from the opening whistle to the final buzzer. Rebounds played a crucial role in their success, as Oklahoma City outperformed their opponents in that category, winning 46 to 32. Additionally, they significantly outscored the Heat in both fastbreak points and points in the paint, achieving a remarkable 58 to 32 advantage in the paint and 16 to 4 in fastbreak scoring. Steven Adams stood as the only other starter to reach double figures for the Thunder, contributing 15 points and eight rebounds on an impressive 7-of-10 shooting. Off the bench, Enes Kanter added a solid 19 points and eight rebounds. For the Heat, Josh Richardson emerged as the standout player, leading his team with 22 points, five rebounds, and three assists. The Oklahoma City Thunder triumphed over the Miami Heat with a score of 106-94 at America Airlines Arena on Tuesday. Though the Heat managed to secure an early lead, it was the only moment they would be ahead for the entire game. The Thunder maintained their dominance, leading for more than 40 minutes and clinching a nearly wire-to-wire victory. Rebounding was a key element to their triumph, with Oklahoma City winning that contest decisively. In terms of scoring, they outmatched Miami significantly in both fastbreak and paint points. The Thunder shot 51 percent from the field, effectively stifling the Heat’s offense, holding them to just 44 percent. As Oklahoma City moves to a record of 20-12, they have leaned heavily on Russell Westbrook, who again took the reins in this matchup. Westbrook's 15th triple-double came as no surprise given his performance of 29 points, 17 rebounds, and 11 assists. Steven Adams was the second-leading scorer with 15 points, followed by Enes Kanter, who provided a valuable spark off the bench with 19 points and eight rebounds. Next, the Thunder will face off against the Memphis Grizzlies in a road game on Thursday. Meanwhile, Miami, sitting at 10-22, struggled without Goran Dragic, which clearly affected their performance in this game. Despite his lackluster season, Josh Richardson shone with a career-high 22 points to go along with five rebounds and three assists. The bench for the Heat was again led by the Johnsons, with Josh Johnson contributing 16 points and five rebounds, and Tyler Johnson chipping in 15 points, two rebounds, and two assists. Hassan Whiteside faced difficulties, shooting just 4-of-11 and committing four turnovers, finishing with a modest 12 points and eight rebounds. The Heat aim to bounce back on Thursday when they take on the Charlotte Hornets on the road."
7,February,2016,Sunday,2015,Madison Square Garden,New York City,New York,19800,19800,1750,"On Sunday, at Madison Square Garden, the Denver Nuggets (21 - 31) edged past the New York Knicks (23 - 31) with a score of 101 - 96. Carmelo Anthony made his return to the Knicks' starting lineup after sitting out the previous game against the Memphis Grizzlies due to knee soreness. However, his presence failed to ignite the team, which now finds itself on a five-game losing streak. Anthony recorded 21 points, six rebounds, and seven assists, shooting 7 of 19 in nearly 35 minutes, but his contribution wasn’t enough to lift New York from its recent struggles. 

Kristaps Porzingis had a rocky start, managing only two successful shots out of his first nine attempts, contributing to the Nuggets' eleven-point lead at the conclusion of the first quarter. Nonetheless, Porzingis rebounded with a better performance, finishing the game with 21 points on 10 of 23 shooting, along with 13 rebounds, two assists, and two blocks. Meanwhile, Langston Galloway returned to a bench role as Derek Fisher opted for a small forward lineup with Anthony starting, yet Galloway still logged 20 minutes, scoring six points—both of which came from three-point territory. Looking ahead, the Knicks aim to halt their losing streak when they face the Washington Wizards (22 - 27) on Tuesday. 

The Nuggets managed to win despite no player scoring over 20 points, showcasing a team-oriented style that allowed them to establish an early lead and finish strong in the fourth quarter. Their only subpar quarter was the third, where shooting became challenging. Danilo Gallinari and Will Barton each contributed 19 points for Denver, while rookie point guard Emmanuel Mudiay, back from injury, has been making a notable difference in the team's performance since his return. Mudiay had a strong 22-point outing against the Bulls and followed it up with 19 points, complemented by four rebounds and nine assists. The Nuggets also featured another rookie, center Nikola Jokic, who added 13 points and six rebounds in just 18 minutes. In the closing moments of the fourth quarter, Denver managed to maintain a comfortable lead, primarily through free throws. They will quickly transition from Manhattan to Brooklyn, facing the Brooklyn Nets (13 - 39) the following day."
8,March,2016,Tuesday,2015,Pepsi Center,Denver,Colorado,13300,19500,1960,"On Tuesday, the Denver Nuggets (26-38) achieved a decisive victory against the visiting New York Knicks (26-39), winning with a score of 110 to 94. The Nuggets benefited from a standout performance by forward Kenneth Faried, who delivered an impressive 24 points and secured 10 rebounds. Faried's efficiency was notable, as he connected on 10 out of 16 shots from the field, leading his team in scoring. Additionally, rookie Nikola Jokic contributed significantly to Denver's success, scoring 20 points, collecting nine rebounds, and providing three assists. Though he has seen limited playing time this season, Jokic’s performance on Tuesday indicated his promising potential. 

Despite Carmelo Anthony’s formidable 30-point effort, the Knicks could not clinch a win; no other starter managed to score in double figures. Melo was perfect at the free-throw line, sinking all 11 attempts, and shot 9-of-18 from the field, trying to carry the team through what was otherwise a disjointed outing from the Knicks. Furthermore, Anthony led the Knicks in both rebounds with seven and assists with four, reflecting his commendable individual display. The Knicks were only able to force six turnovers from the Nuggets, which resulted in a significant shooting discrepancy, giving Denver a 21-shot advantage. Looking ahead, New York is set to compete against the Suns on Wednesday, while Denver will also face the Suns, but on Thursday."
21,March,2016,Monday,2015,Target Center,Minneapolis,Minnesota,19500,19000,2330,"The Golden State Warriors, boasting a record of 63 wins and 7 losses, triumphed over the Minnesota Timberwolves, who stand at 22 wins and 48 losses, with a close score of 109-104 on Monday at the Target Center. The Timberwolves fought hard in this matchup, staying competitive with the Warriors until the final moments. At halftime, the Warriors held a slim lead of 59-58. However, Minnesota surged in the third quarter, establishing an eight-point advantage after a 10-0 run, just 1:44 remaining in that period. Despite holding the lead for most of the fourth quarter, the Warriors regained control with 1:47 left on the clock thanks to a dunk from Draymond Green, bringing the score to 103-101. The Warriors narrowly escaped what would have been their first consecutive losses of the season, even while their star players struggled significantly. Stephen Curry and Klay Thompson combined to shoot just 11 out of 31 from the field, although Klay managed an impressive 5 for 5 from beyond the arc. Curry ended the night with 19 points, 11 assists, 7 rebounds, and 3 steals, but struggled with shooting, connecting on only 2 of 9 attempts from three-point range. Thompson contributed 17 points alongside 5 rebounds and 2 assists. Draymond Green emerged as a key contributor, scoring 24 points on 10 of 13 shooting, while also grabbing 9 rebounds, dishing out 6 assists, making 3 steals, and blocking 3 shots, in 36 minutes of play. The Warriors experienced an atypical 17 turnovers, with 14 occurring during the second half. For the Timberwolves, Karl-Anthony Towns, Andrew Wiggins, and Ricky Rubio delivered strong performances that nearly overshadowed the defending champions. Towns finished with 24 points, shooting 11 for 19 from the field, along with 11 rebounds, 2 assists, and a block. Rubio recorded a double-double with 20 points, going 5 for 9 from the field, 3 for 7 from three-point range, and perfect on 7 free throws, while adding 11 assists, 4 rebounds, and 4 steals, despite committing 6 turnovers. Wiggins also made an impact with 25 points, shooting 8 of 21 from the field, 1 of 3 from beyond the arc, and 8 of 11 from the free-throw line, while contributing 5 rebounds, 4 assists, and a block over 40 minutes. The Timberwolves managed to register 26 assists on 36 field goals and maintained a shooting percentage of 44 percent. Up next, the Warriors will take on the Los Angeles Clippers at home on Wednesday, while the Timberwolves are set to face the Kings on the same day."
8,January,2016,Friday,2015,Barclays Center,Brooklyn,New York,13900,17700,1905,"On Friday, the Orlando Magic (20-17) triumphed over the Brooklyn Nets (10-26), securing an 83-77 victory. Ever since Victor Oladipo stepped in as the starting point guard for Elfrid Payton three games ago, he has displayed a remarkable resurgence in both energy and confidence. The skilled guard has consistently scored 18, 20, and 20 points in those games, showcasing an impressive shooting efficiency of 60% from the field during that period. Once again shining on Friday, Oladipo tallied 20 points, tying for the team's top score, alongside nine rebounds, two assists, three steals, and one block. Given his exceptional form, the Magic will face a welcome dilemma with Payton's impending return from an ankle injury, as they'll need to find playing time for their talented trio that includes Evan Fournier.

Nikola Vucevic matched Oladipo's scoring output with a double-double, contributing 20 points and 10 rebounds, along with four assists, two steals, and another block. This standout performance was particularly noteworthy against a Nets defense that has struggled, allowing an average of 22 points per game to rival centers this season. Fournier finished as the third starter in double figures with 13 points, complemented by three assists, one rebound, and two steals. Additionally, Aaron Gordon provided a strong contribution off the bench, scoring 14 points and grabbing five rebounds in 23 minutes of play. With this result, the Magic improved to 20-17, positioning themselves second in the Southeast Division of the Eastern Conference, as they prepare to face the Wizards at home on Saturday.

On the other hand, the Nets suffered their ninth consecutive home defeat, largely due to the relentless defense of the Magic, who rank in the top 10 for points allowed per game (99). The Orlando defense effectively contained Brooklyn, with Brook Lopez leading the Nets in scoring with just 17 points, along with eight rebounds, a steal, and a block. Joe Johnson maintained his recent offensive momentum, contributing 13 points, three assists, three rebounds, and a steal. Shane Larkin and Thaddeus Young added 12 and 11 points respectively, with Larkin also providing four rebounds, three assists, and a steal, while Young secured nine rebounds and matched Larkin’s performance in other statistical areas. Bojan Bogdanovic had a disappointing outing, registering only two points, and Wayne Ellington led the Nets' bench with eight points. As a result, the Nets dropped to 10-26, remaining in fourth place in the Atlantic Division of the Eastern Conference, with a matchup against the Pistons awaiting them on Saturday night."
10,January,2016,Sunday,2015,Wells Fargo Center,Philadelphia,Pennsylvania,19200,20500,1247,"On Sunday, the Cleveland Cavaliers (26-9) secured a victory over the Philadelphia 76ers (4-36) with a score of 95-85. The Cavaliers faced unexpected resistance from the Sixers, who battled fiercely throughout all four quarters. A standout feature of the game was Philadelphia's impressive defensive strategy, which succeeded in limiting Cleveland’s high-scoring offense to just 39 percent shooting from the field and 28 percent from three-point range. This performance was particularly striking considering that the Cavs had previously achieved shooting percentages of 53 and 48 against the Timberwolves in their last match-up and had exceeded 120 points in their two prior games.

LeBron James was instrumental in securing the hard-fought win for Cleveland, delivering an outstanding performance with 37 points, seven rebounds, and nine assists, along with a couple of steals. In contrast, the contributions from the other starters were notably less impactful, with Kevin Love being the next highest scorer at 15 points, although he excelled on the boards, pulling in 15 rebounds and adding seven assists and two steals against a weak Philadelphia frontcourt. J.R. Smith contributed with 14 points, three rebounds, and a steal, sinking four three-pointers during the match. Tristan Thompson also made a notable impact with a double-double, scoring 10 points and securing 10 rebounds. Meanwhile, Kyrie Irving had a subdued outing, netting only eight points, along with five rebounds, two assists, two steals, and one block over 31 minutes, having struggled with his shooting (making only three of 15 attempts). With this win, the Cavaliers improved to 26-9, maintaining their position atop the Central Division of the Eastern Conference as they prepare for an upcoming game against the Mavericks in Dallas on Tuesday.

On the other side, the 76ers showcased a commendable effort, led by Jahlil Okafor with 21 points and seven rebounds. Ish Smith recorded another solid performance, achieving a double-double with 18 points and 10 assists, supplemented by seven boards and a steal. Jerami Grant and Nik Stauskas each scored six points, while Hollis Thompson led the Philadelphia bench with eight points and three rebounds. Following this game, the 76ers' record stands at 4-36, placing them last in the Atlantic Division of the Eastern Conference as they look ahead to their Thursday game against the Chicago Bulls."
