day,month,year,dayname,season,stadium,city,state,attendance,capacity,game_id,summary
30,November,2018,Friday,2018,American Airlines Arena,Miami,Florida,19600,19600,5260,"The Miami Heat defeated the New Orleans Pelicans , 106 - 101 , at American Airlines Arena on Friday evening . The Heat ( 8 - 13 ) arguably played their best quarter of basketball of the season over the first 12 minutes of the contest , exiting the period with a 37 - 17 lead . They still held a 20 - point lead at halftime , but the Pelicans ( 11 - 12 ) refused to go quietly . New Orleans cut their deficit down to six entering the final quarter , and they 'd continue to threaten throughout . The Pels were as close as 103 - 100 with 1:12 remaining , but Miami managed to hold on for only their fourth home win of the campaign . Anthony Davis led the Pelicans with 41 points and added nine rebounds , two assists , one steal and four blocks . Jrue Holiday supplied 21 points , eight assists , four rebounds and one block . Nikola Mirotic registered 15 points and four boards . Julius Randle managed eight points , 10 rebounds , two assists and one block . E'Twaun Moore posted six points , four rebounds , one assist and one steal across 26 minutes before exiting late in the game with a foot injury . Josh Richardson paced the Heat with 20 points , a total he supplemented with two rebounds , one assist , three steals and one block . Dwyane Wade totaled 18 points , six assists and five rebounds . Kelly Olynyk contributed 13 points , seven boards , two assists and two steals . Hassan Whiteside delivered 12 points , eight rebounds , three assists , two blocks and one steal . Rodney McGruder collected 11 points , five boards , one assist and two steals . The Pelicans next head to Charlotte to tangle with the Hornets on Sunday afternoon , while the Heat remain home and take on the Utah Jazz on Sunday evening ."
8,November,2018,Thursday,2018,Chesapeake Energy Arena,Oklahoma City,Oklahoma,0,18200,5951,"The Oklahoma City Thunder defeated the visiting Houston Rockets , 98 - 80 , at Chesapeake Energy Arena on Thursday . Houston 's offense has been struggling all season long and this 80 - point nightmare is hopefully rock - bottom . It was a thorough domination from start to finish , as Oklahoma City led by 10 points after the first quarter and by 20 points headed into the fourth quarter . In fact , the Thunder held a double - digit lead for the entirety of the second half . They held the Rockets to just 38 percent from the field and 26 percent from three - point range while forcing 17 turnovers . Oklahoma City also dominated the boards , outrebounding Houston , 52 - 37 . Getting to the charity stripe was also huge for the Thunder , as they connected on 17 - of - 24 of their free - throws while the Rockets hit just 7 - of - 10 . The Rockets ( 4 - 6 ) were led by James Harden , as he tallied 29 points , eight rebounds , five assists and three steals . Clint Capela totaled 17 points , seven rebounds and three assists . Chris Paul accrued 10 points , two rebounds , five assists and six steals . Carmelo Anthony had a nightmare game off the bench , scoring two points on 1 - of - 11 from the field . The Thunder ( 7 - 4 ) were led by Paul George , as he collected 20 points , 11 rebounds , six assists and six steals . Steven Adams amassed 19 points , 10 rebounds and four assists . Dennis Schroder accumulated 14 points , six rebounds and five assists . Jerami Grant and Terrence Ferguson also reached double figures in scoring to cap off the starting five . Both teams return to action on Saturday , with Houston traveling to face the San Antonio Spurs and Oklahoma City playing the Dallas Mavericks on the road as well ."
3,December,2018,Monday,2018,Scotiabank Arena,Toronto,Ontario,19800,19800,5794,"The Los Angeles Clippers took down the New Orleans Pelicans , 129 - 126 , at Smoothie King Center on Monday evening . After falling by just four points on the road on Sunday , the Clippers ( 16 - 7 ) managed to come out on the winning end of a close game in New Orleans . Despite a career - best 37 points from Pelicans ' big man Julius Randle , LA was able to hang on to a narrow lead throughout the late fourth quarter . Both teams absolutely dominated on the interior , with the Clippers shooting 59 percent from the floor and New Orleans ( 12 - 13 ) shooting an admirable 53 percent . New Orleans also drained 13 three - pointers despite the loss . For the Clippers , Tobias Harris led the way with 27 points . Harris has been the unequivocal leader of this year 's Clippers squad , earning Western Conference Player of the Month honors for October and November . In addition to Harris 's strong play , the team saw 20 points from breakout star Montrezl Harrell . Harrell has scored 20 or more points in six of his last eight games despite averaging just over 25 minutes per game over that stretch . New Orleans , meanwhile , saw a career night from Randle . His 37 points came on 15 - of - 24 shooting from the field , and he also pulled down seven rebounds . Jrue Holiday added a whopping 32 points and 14 assists , while Anthony Davis displayed his typical dominance , finishing with 23 points , 14 rebounds , six assists , three steals , and three blocks . Despite those strong performances , New Orleans could not match LA 's incredible offensive output . New Orleans will host the Dallas Mavericks on Thursday , while the Clippers will visit Memphis ."
14,February,2018,Wednesday,2017,Smoothie King Center,New Orleans,Louisiana,15400,16900,4496,"The New Orleans Pelicans blew out the Los Angeles Lakers , 139 - 117 , at Smoothie King Center on Wednesday . The game got out of hand quickly for Los Angeles ( 23 - 33 ) , as the Pelicans ( 31 - 26 ) got off to a scorching hot start . New Orleans finished the fourth quarter with 46 points , thanks largely to the massive offensive impact of superstar big man Anthony Davis . Davis , who will be representing New Orleans at the All-Star Game this weekend , scored 31 points in the first half of the game alone . `` The Brow `` scored with brutal efficiency , going 15 - of - 18 from the field and finishing with a game - high 42 points . Things got controversial in the first half , as both teams saw their point guards ejected . After a tense exchange between the Pelicans ' Rajon Rondo and the Lakers ' Isaiah Thomas , both were removed from the game . A subsequent technical foul led to the ejection of Lakers head coach Luke Walton . The ejection marks the third time in Thomas 's career in which he has been ejected within three games of joining a new team . Even discounting Davis 's monstrous output , the Pelicans were impressive . The team shot over 53 percent from the field and knocked down 14 three - pointers . Jrue Holiday pitched in 24 points , while the Pelicans ' bench combined to score 52 . Los Angeles , meanwhile , had three 20 - point scorers in what was a decent offensive night for the surging team . Brandon Ingram scored 21 points , while rookie forward Kyle Kuzma led the team with 23 off the bench . Defense was where the Lakers struggled , as the team had only five steals and could not manage to contain Davis 's commanding offensive presence . The Lakers will visit Minnesota on Thursday , while New Orleans enters the All-Star Break ."
26,February,2018,Monday,2017,Madison Square Garden,New York City,New York,19800,19800,4212,"The Golden State Warriors defeated the New York Knicks 125 - 111 on Monday at Madison Square Garden . The Knicks ( 24 - 38 ) managed to stay competitive through the first half of the game , and they even went into halftime with a one - point lead over the defending champions . But then , the Warriors ( 47 - 14 ) , as they have done all season , kicked it up a notch in the third quarter . They went on to win the third period 39 - 18 , and there was no looking back from there . Every Golden State started scored in double figures , with Klay Thompson 's 26 points leading the way . Kevin Durant and Steph Curry were n't too far behind , scoring 22 and 21 points respectively . In the end , it was a just another terrific shooting performance from the Warriors , who shot a scorching 48 percent from three and 52 percent from the field overall . For New York , it was their newest member , Emmanuel Mudiay , who led the way scoring with 20 points on 8 - of - 15 shooting to go along with seven assists . His backups , rookie Frank Ntilikina and Trey Burke were also impressive off the bench , with Burke posting 18 points and five assists , while Ntilikina dropped 13 points of own . It was actually the Knicks ' bench that carried a majority of the offensive load Monday , with the reserves accounting for 65 of the team 's points . In the end , it was a pretty strong effort offensively for New York , as they shot 40 percent from behind the arc and 49 percent from the field overall , but the Knicks just were n't able to keep pace with the NBA 's top team Monday night ."
27,October,2018,Saturday,2018,Quicken Loans Arena,Cleveland,Ohio,19400,19400,5046,"The Indiana Pacers defeated the host Cleveland Cavaliers , 119 - 107 , at Quicken Loans Arena on Saturday . Cleveland came into this game winless and Indiana made sure to keep that going with this dominant win . In fact , the Pacers held the lead for the final 30 minutes of action , as they outscored the Cavaliers in the second and fourth quarters , 61 - 49 . There were nine ties and 11 lead changes in the first 20 minutes though , as the other two quarters ended in deadlocks . Indiana 's offense was unstoppable , as they connected on 65 percent of their shots while holding Cleveland to just 47 percent shooting . Ball movement was a huge part of that , with the Pacers out - assisting the Cavaliers , 28 - 21 . The Pacers ( 4 - 2 ) were led by Bojan Bogdanovic , as he tallied 25 points , three rebounds and two assists on 10 - of - 14 shooting . Victor Oladipo finished with 24 points , three rebounds , six assists and three steals on 10 - of - 15 shooting . Darren Collison collected 15 points , two rebounds , six assists and three steals . Domantas Sabonis led the bench with 15 points and five boards . The Cavaliers ( 0 - 5 ) were led by Rodney Hood , as he totaled 17 points , five rebounds , three assists and two steals . George Hill amassed 14 points , two rebounds , two assists and two steals . Cedi Osman generated 10 points , four rebounds and three assists . Larry Nance Jr. led the bench with 15 points , 12 rebounds and four assists . On deck for Indiana is a home matchup versus the Portland Trail Blazers on Monday . As for Cleveland , they play host to the Atlanta Hawks on Tuesday for their next fixture ."
7,April,2018,Saturday,2017,Madison Square Garden,New York City,New York,19800,19800,4222,"The Milwaukee Bucks defeated the New York Knicks , 115 - 102 , at Madison Square Garden on Saturday evening . The Bucks ( 43 - 37 ) found out earlier in the day that team MVP Giannis Antetokounmpo would miss the contest due to an ankle sprain , which automatically equated to a healthy heaping of extra offensive responsibility on the shoulders of the likes of fellow Big Three members Khris Middleton and Eric Bledsoe . Ultimately , all five members of the Milwaukee starting five enjoyed productive nights , and the second unit delivered a solid complementary total of 30 points . The visitors shot an impressive 48 percent overall and saved their best for last , compiling a game - high 35 points in the final period to seal the win over a competitive Knicks ( 28 - 52 ) squad . Middleton and Bledsoe did in fact lead the way with a pair of 22 - point tallies . The former added six rebounds , four assists and one block , while the latter chipped in 10 assists , three rebounds , one steal and one block . Jabari Parker drew the spot start in Antetokounmpo 's absence and delivered a 16 - point , 12 - rebound double - double that also included five assists and one steal . John Henson posted a 15 - point , 12 - rebound double - double and added one assist and three blocks . Even Tony Snell got in on the act , pouring in 10 points and supplementing them with four rebounds , three assists and two blocks . Jason Terry paced the second unit with nine points . Jarrett Jack was the surprise scoring leader for the Knicks , churning out 18 points , seven assists and five rebounds . Kyle O'Quinn turned in a 15 - point , 16 - rebound double - double while also dishing out five assists and recording four blocks . Courtney Lee accounted for 14 points and four rebounds . Michael Beasley supplied 13 points , six boards , two assists and one block . Damyean Dotson registered 11 points , three rebounds , two assists and three steals . Trey Burke mustered eight points , eight assists and four rebounds . Frank Ntilikina generated seven points , four assists and two rebounds . The Bucks return home and face off with the Orlando Magic on Monday night , while the Knicks remain home and await a Monday evening visit from the Cleveland Cavaliers ."
31,December,2018,Monday,2018,AT&T Center,San Antonio,California,18400,18400,5883,"The San Antonio Spurs defeated the visiting Boston Celtics , 120 - 111 , at AT & T Center on Monday . While Boston led for 23 minutes of a 24 - minute first half , San Antonio took control in the third quarter . In fact , the Spurs matched their first - half point total by outscoring Boston , 46 - 30 , in the third quarter . A 17 - 2 run in the middle of that quarter really made the difference , as they led by at least seven points for the final 16 minutes of play . Three-point shooting was critical , with the Spurs hitting 14 - of - 26 and the Celtics connecting on just 11 - of - 34 . San Antonio 's starters did most of the damage , outscoring Boston 's starters , 84 - 62 . The Celtics ( 21 - 15 ) best player came off the bench , as Jaylen Brown led the team with 30 points , four rebounds , two assists and two blocks on 10 - of - 15 from the field . Marcus Morris led the starters with 18 points and four boards . Kyrie Irving accrued 16 points , three rebounds , eight assists and two steals while Jayson Tatum amassed 12 points and 11 boards . The Spurs ( 21 - 17 ) were led by LaMarcus Aldridge , as he tallied 32 points , nine rebounds , five assists and three blocks . Derrick White totaled 22 points , three rebounds , three assists and two blocks . DeMar DeRozan collected 13 points , seven rebounds and 11 assists while Davis Bertans led the bench with 17 points . On deck for Boston is a home matchup versus the Minnesota Timberwolves on Wednesday . As for San Antonio , they 're off until Thursday when they welcome Kawhi Leonard and the Toronto Raptors to AT & T Center ."
20,December,2018,Thursday,2018,Staples Center,Los Angeles,California,17500,19000,5139,"The Los Angeles Clippers defeated the visiting Dallas Mavericks , 125 - 121 , at Staples Center on Thursday evening . The Clippers got out to a good start at home , as they emerged from a hard - fought first quarter with a 30 - 27 lead . They built with momentum in the second , where they outscored the visitors by eight in the quarter , to take a 65 - 54 lead into halftime . The Mavericks came out strong in the second half and chipped away at the deficit through the third , but still trailed by eight heading into the final frame . The Mavs kept pressing and tied it up at 90 early in the fourth , and led 105 - 102 at the halfway point in the quarter . However , the Clippers pulled ahead with a four - point lead with 2:37 left in the contest and were able to hold the edge from there , to end a four - game losing streak . Danilo Gallinari led the Clippers with 32 points , six rebounds , four assists and two blocks , in 33 minutes . Lou Williams returned to action after missing sometime with a hamstring injury , to finish with 26 points , eight assists , two steals and one rebound , in 23 minutes off the bench . Montrezl Harrell added 18 points , six rebounds , four assists and two blocks , in 28 minutes off the bench . Meanwhile , Luka Doncic led the Mavs with 32 points , five assists , four rebounds and four steals , in 31 minutes . J.J. Barea added 19 points , eight assists and three rebounds , in 27 minutes off the bench , while DeAndre Jordan tallied 11 points , 22 rebounds , four assists and one steal , in 32 minutes . The Mavs ( 15 - 15 ) take on the Warriors in Golden State on Saturday . The Clippers ( 18 - 13 ) play host to the Nuggets on Saturday ."
7,November,2018,Wednesday,2018,Quicken Loans Arena,Cleveland,Ohio,19400,19400,5049,"The Oklahoma City Thunder defeated the Cleveland Cavaliers , 95 - 86 , at Quicken Loans Arena on Wednesday night . The Thunder ( 6 - 4 ) had to deal with the absence of Russell Westbrook after he got injured on Monday against the New Orleans Pelicans , and they managed to dominate most of the contest against a Cavaliers ( 1 - 10 ) team that already reached double - digit losses through their first 11 games of the campaign . OKC jumped to a 23 - 20 lead in the first half , and increased their lead by eight points ( 48 - 40 ) by half time . Cleveland won the third quarter by one point ( 24 - 23 ) and it seemed they were on the rise heading into the final 12 minutes , but the Thunder closed things out with a 24 - 22 fourth quarter that pushed them two games over .500 . No Westbrook meant no problem for the Thunder , as point guard Dennis Schroder led the way for OKC with 28 points and seven rebounds , but , oddly enough he did n't record a single assist despite starting as a point guard . Paul George filled the stat sheet thanks to 18 points , seven boards , two assists and two steals . Jerami Grant added 12 points with eight rebounds , and Steven Adams contributed with nine points , 13 rebounds and two blocks . Six Cleveland players scored in double digits and the leader was rookie Collin Sexton , who had 15 points . Tristan Thompson delivered a double - double of 10 points and 15 boards . J.R. Smith had 13 points , and Rodney Hood chipped in with 11 points , five boards and four assists . Jordan Clarkson had 11 points , nine rebounds and eight assists off the bench ."
