day,month,year,dayname,season,stadium,city,state,attendance,capacity,game_id,summary
26,February,2016,Friday,2015,Madison Square Garden,New York City,New York,19800,19800,1753,"The New York Knicks ( 25 - 35 ) defeated the Orlando Magic ( 25 - 32 ) 108 - 95 on Friday . The Magic made the trek up to the Big Apple after a 130 - 114 blowout defeat on Thursday in Orlando at the hands of the reigning NBA champs . The Knicks jumped on the likely - tired visitors early , building a 62 - 44 halftime lead . Although the Magic came out a bit reenergized out of intermission , New York 's workmanlike effort kept them at an advantage , and led to a comfortable double - digit victory . The hosts were just a bit better than their guests in every category Friday , with New York sporting a 46 percent to 42 percent shooting advantage from the floor , a 25 percent to 22 percent edge from beyond the arc , and also prevailing 51 - 47 on the glass . Orlando was paced by a solid effort from Nikola Vucevic , who posted 18 points , eight boards , an assist and a steal . Aaron Gordon continued his stretch of strong play with 17 points , eight rebounds , two assists and a steal . Victor Oladipo tallied 16 points , six rebounds , three assists , a steal and a block . Dewayne Dedmon led the reserves with 12 points , three rebounds and a steal , while rookie Mario Hezonja also was productive while filling out the stat sheet in an efficient 26 minutes . He registered eight points , seven rebounds , three assists and a pair of steals . The Magic remain in last place in the Eastern Conference 's Southeast Division , and five games back of the eighth - seeded Charlotte Hornets . They 're back home on Sunday to face off against the Philadelphia 76ers . Carmelo Anthony led the way for New York with a 19 - point , 11 - rebound double - double that also included six assists and a steal . Kristaps Porzingis was right behind with 18 points , six boards , two assists , two steals and a pair of blocks . Each of the three remaining starters tallied 14 - point efforts . Arron Afflalo surprisingly added 12 boards to his scoring haul , along with a trio of assists and a steal . Robin Lopez supplemented his total with eight boards , a steal and a pair of blocks , while Jose Calderon also contributed three boards and an assist . Even the reserves got in on the act , with Derrick Williams and Lance Thomas pacing the bench with a pair of 11 - point outings . The former complemented his scoring with three rebounds , while the latter added three boards , an assist and a steal . The Knicks remain in third place in the Eastern Conference 's Atlantic Division , and are five and a half games back of the eighth - seeded Charlotte Hornets . They 're home again on Sunday to face off against the Miami Heat ."
9,November,2016,Wednesday,2016,Verizon Center,Washington,Washington,12700,20400,3653,"The Washington Wizards defeated the Boston Celtics , 118 - 93 , at Verizon Center on Wednesday . The Wizards ( 2 - 5 ) completely overwhelmed the Celtics ( 3 - 4 ) out of the gate , exploding for 34 points over the first 12 minutes . That stretch included a 160 run within the period that sprung them to an 18 - 2 lead by the 6:26 mark of the first quarter . Otto Porter spearheaded the Wizards ' attack with a season - high 34 points , which he complemented with 14 rebounds , four assists , three steals and three blocks . As their final point total would indicate , Washington enjoyed a strong shooting night , tallying a 50 percent success rate from the field , as well as 48 percent from behind the arc . The Celtics were paced by Isaiah Thomas , who posted 23 points , 10 assists and six rebounds . Backcourt mate Avery Bradley was next , supplying 21 points , three rebounds , two assists , two steals and a block . Amir Johnson was the only other starter that got into double digits in the scoring column , compiling 11 points , three rebounds , an assist , a steal and a block . Marcus Smart led the bench with 20 points , three rebounds , an assist and a steal . John Wall checked in behind Porter with 19 points , seven assists , three rebounds , a steal and a block . Marcin Gortat managed 13 points , nine rebounds , two assists and two blocks . Bradley Beal registered only three points in 11 minutes on 1 - for - 8 shooting before exiting with tightness in his right hamstring . The comfortable lead and Beal 's absence opened up extra minutes off the bench for Marcus Thornton and Trey Burke , who contributed 16 and 18 points , respectively . The Celtics head back home to face the Knicks on Friday night , while the Wizards remain home to face the Cavaliers in a Friday evening tussle .A 34 - point first - quarter ambush on the part of the Wizards leveled the visiting Celtics early . Washington was up 18 - 2 by the 6:26 mark of the first quarter . Otto Porter 's season - high 34 points and 14 rebounds led the way , while John Wall and Marcin Gortat combined for another 33 points . Bradley Beal left after just 11 minutes with a hamstring injury , but Marcus Thornton and Trey Burke contributed 34 combined bench points , helping the Wizards to 50 and 48 percent shooting success rates from the field and three - point range , respectively . Isaiah Thomas and Avery Bradley checked in with respective totals of 23 and 21 points , but the remainder of the Celtics starting five could only muster a combined 20 points . Marcus Smart matched that total himself while leading the bench , yet the Celtics fell woefully short ."
6,February,2016,Saturday,2015,AT&T Center,San Antonio,California,18400,18400,2201,"The San Antonio Spurs ( 43 - 8 ) held off the Los Angeles Lakers ( 11 - 42 ) for a 106 - 102 win on Saturday . This game had blowout written all over it , but the Lakers hung around all night in a competitive game . The Spurs actually trailed heading into the fourth quarter , but outscored the Lakers by six over the final 12 minutes . The assisting was a big difference , as San Antonio recorded 27 assists to the Lakers 19 . The Spurs also shot 44 percent from the field while holding Los Angeles to under 40 percent . The Lakers came into this game as a 17 - point underdog , but showed some serious fight in a losing effort . Kobe Bryant continued his hot stretch , as he scored 25 points in the loss . Julius Randle also played well , as he tallied 15 points , 17 rebounds and four assists in the defeat . Jordan Clarkson finished with 21 points , six rebounds and four assists as well . Up next for the Lakers is a matchup against the Indiana Pacers on Monday . The Spurs have a near 20 - point differential in their home building on average this season , but this was easily one of their toughest games of the year at home . LaMarcus Aldridge once again carried the load , as he scored 26 points and grabbed nine rebounds in the win . Kawhi Leonard also had a good game , as he accumulated 20 points , 13 rebounds and three assists in the victory . This win now gives the Spurs 37 - straight wins at the AT & T Center , with 28 of those coming this season . San Antonio wo n't be in action again until Tuesday , when they play the Miami Heat on the road ."
4,November,2016,Friday,2016,American Airlines Center,Dallas,Texas,19500,19200,3077,"With much fanfare being made about the absurd statistical starts of many superstars , Damian Lillard continued to separate himself from the pack on Friday night . Through six games , Lillard is averaging just over 34 points on over 52 percent shooting . Friday 's 42 - point outing marked his highest scoring night of the season , though that was a high bar for Lillard to hop ; in six games , he has scored no lower than 27 and has eclipsed 35 points three times . For Dallas , meanwhile , offseason addition Harrison Barnes has seen his role shift with the Mavericks . After playing in a loaded Golden State offense , Barnes has been able to see the ball in his hands plenty in Dallas . With 17 points on Friday , Barnes remains Dallas 's top scorer , having reached double digits in all five games thus far .The Portland Trail Blazers defeated the host Dallas Mavericks on Friday , 105 - 95 , behind 42 points from point guard Damian Lillard . It was a tight game until the fourth quarter , as Portland ( 3 - 3 ) held just a three - point lead at the end of the third . It was Lillard time the whole way , however , as the point guard delivered his highest - scoring performance of the season thus far . Lillard 's 42 - point eruption on 12 - of - 18 shooting helped make up for cooler nights from backcourt partner C.J . McCollum , who scored just nine points , and the Portland bench , who combined for just 14 . The team played a perimeter - focused game , scoring 36 points on three - point shots , including 15 from Lillard . Dallas ( 0 - 5 ) , meanwhile , saw yet another loss come in Friday 's matchup . The team has yet to pick up a win in the 2016 - 17 season , and has seen major shooting struggles thus far . These struggles continued against Portland , as the team shot just 41 percent from the field . Veteran team leader Dirk Nowitzki , who was recently sidelined due to an illness , came back to play just 16 minutes on Friday . Nowitzki scored only five points on 2 - of - 6 shooting . Shooting guard Wesley Matthews , meanwhile , was seemingly invisible on the floor , shooting just 1 - of - 6 and recording no rebounds and one assist in 29 minutes of play . Portland will face off against Memphis on Sunday , while Dallas will hope to finally pick up a win as they host Milwaukee ."
27,December,2016,Tuesday,2016,American Airlines Arena,Miami,Florida,20000,19600,2805,"Westbrook has been making triple - doubles look easy all season and he did that yet again in this win . He finished this game with 29 points , 17 rebounds and 11 assists en route to his 15th triple - double of the season . Many of the statistics were lopsided for the Thunder , as they dominated from start to finish . Rebounding was very decisive , as Oklahoma City won that battle , 46 - 32 . Fastbreak points and points in the paint were huge as well , with the Thunder outscoring the Heat , 58 - 32 in the paint and 16 - 4 in fastbreak points . Steven Adams was the only other Thunder starter in double figures , as he totaled 15 points and eight rebounds on 7 - of - 10 shooting . Enes Kanter came off the bench to provide 19 points and eight rebounds of his own . Josh Richardson was the lone bright spot for Miami , as he led the team with 22 points , five rebounds and three assists .The Oklahoma City Thunder defeated the host Miami Heat , 106 - 94 , at America Airlines Arena on Tuesday . While Miami got out to an early lead , that was the only one they 'd have all game . In fact , the Thunder led for the final 40 - plus minutes , as they pulled out a near wire - to - wire win . Rebounding was the biggest factor to the Thunder 's success , as they won that battle , 46 - 32 . Fastbreak points and points in the paint were also decisive , as Oklahoma City outscored Miami , 58 - 32 in the paint and 16 - 4 in fastbreak points . The Thunder finished the game shooting 51 percent from the field , while holding the Heat to just 44 percent . Oklahoma City ( 20 - 12 ) have riden the back of Russell Westbrook all season and he carried the load once again here . Westbrook notched his 15th triple - double of the season , as he accumulated 29 points , 17 rebounds and 11 assists in the win . Steven Adams was the only other starter in double figures , as he totaled 15 points and eight rebounds . Enes Kanter was a nice spark off the bench , providing 19 points and eight rebounds . On deck for the Thunder is a road matchup against the Memphis Grizzlies on Thursday . Miami ( 10 - 22 ) had to play this game without Goran Dragic and it clearly hampered them in this loss . Josh Richardson had been struggling this season , but he was a nice bright spot in this loss , tallying a career - high 22 points , five rebounds and three assists . The Johnson 's once again led the bench in scoring , as Josh Johnson accrued 16 points and five rebounds , while Tyler Johnson dropped 15 points , two rebounds and two assists . Hassan Whiteside really struggled , as he went 4 - of - 11 from the field and committed four turnovers en route to a 12 - point and eight - rebound dud . The Heat will look to play better on Thursday in a road matchup against the Charlotte Hornets ."
7,February,2016,Sunday,2015,Madison Square Garden,New York City,New York,19800,19800,1750,"The Denver Nuggets ( 21 - 31 ) defeated the New York Knicks ( 23 - 31 ) 101 - 96 at Madison Square Garden on Sunday . Carmelo Anthony ( knee ) returned to the starting lineup after missing Friday 's game against the Memphis Grizzlies with knee soreness , but it was not enough to give the Knicks a needed spark , as they now own a five game losing streak . Anthony finished with 21 points , six rebounds and seven assists on 7 - of - 19 shooting in just under 35 minutes , but it was not the scoring output they needed to break New York out of a slump . Kristaps Porzingis struggled early , only completing two of his first nine attempts from the floor , and was a major part of Denver storming out to an eleven point lead at the end of the first quarter . Porzingis did finish strong on the shooting end to salvage what was close to his worst shooting performance of the season , as the lanky rookie scored 21 points on 10 - of - 23 shooting , to go along with 13 rebounds , two assists and two blocks . Langston Galloway went back to his bench role as Derek Fisher did not go with a three guard lineup with Anthony returning to the small forward slot , but Galloway still saw 20 minutes of game time and finished with six points , as both buckets came from behind the arc . The Knicks will look to end their skid when they host the Washington Wizards ( 22 - 27 ) on Tuesday . The Nuggets did not have a player score more than 20 points in the game , but their unselfish style of play lent way to an early first half lead and strong fourth quarter finish . Denver 's only bad quarter came in the third quarter , where some tough shots just did not fall . Danilo Gallinari and Will Barton led the Nuggets with 19 points each , but rookie point guard Emmanuel Mudiay has been playing very well since returning from injury and it is beginning to have a great impact on the team . Mudiay is coming off a 22 point performance against the Bulls on Friday , and added 19 points on Friday , to go along with four rebounds and nine assists . The young Nuggets squad started another rookie alongside Mudiay , center Nikola Jokic , who scored 13 points and grabbed six rebounds in 18 minutes . Denver was able to coast to a win in the waning minutes of the fourth quarter , doing most of their damage from the free throw line to consistently keep the Knicks out of reach . The Nuggets will play a back - to - back and hop from Manhattan to Brooklyn to take on the Brooklyn Nets ( 13 - 39 ) on Monday ."
8,March,2016,Tuesday,2015,Pepsi Center,Denver,Colorado,13300,19500,1960,"The Denver Nuggets ( 26 - 38 ) defeated the visiting New York Knicks ( 26 - 39 ) on Tuesday , 110 - 94 . Denver was bolstered by strong play from forward Kenneth Faried , who exploded for an efficient 24 points while pulling down 10 rebounds . Faried had an unusually strong performance , hitting 10 of 16 shots from the field and leading the Nuggets in scoring . Rookie Nikola Jokic also played a huge part in the Denver win , scoring 20 points and grabbing nine boards while dishing out three assists . The rookie has played few minutes thus far this season , but has shown signs of high potential , as evidenced by his strong showing on Tuesday . 30 points from Carmelo Anthony was not enough for the Knicks to secure a win , as no other starter reached double digits in scoring . Melo hit all of his 11 free - throws while going 9 - for - 18 from the floor , putting the team on his shoulders in an otherwise sloppy performance by the struggling Knicks . Anthony also led the team in rebounding with seven and assists with four , in what was an impressive individual showing . The Knicks forced just six total turnovers from Denver , allowing the Nuggets a 21 - shot advantage in attempts from the field . New York will face the Suns on Wednesday , while Denver will also take on the Suns this Thursday ."
21,March,2016,Monday,2015,Target Center,Minneapolis,Minnesota,19500,19000,2330,"The Golden State Warriors ( 63 - 7 ) defeated the host Minnesota Timberwolves ( 22 - 48 ) 109 - 104 , Monday at Target Center . The Timberwolves came out to play in this one , as they stayed neck - and - neck with the Warriors right to the wire . The score was 59 - 58 for Golden State at half but Minnesota came out tough in the third quarter , going up by eight after a 100 run , with 1:44 left in the quarter . The Timberwolves then held the lead for much of the fourth quarter until the Warriors took it back for the last time , with 1:47 left in the game , as they went up 103 - 101 on a dunk by Draymond Green . The Warriors avoided what would have been their first back - to - back losses of the season by hanging in there on a night their stars were struggling . Stephen Curry and Klay Thompson shot a combined 11 - 31 from the field , however Klay went 5 - 5 from downtown . Curry finished with 19 points , 11 assists , seven rebounds and three steals , but shot only 2 - 9 from deep . Thompson totaled 17 points , five rebounds and two assists . Draymond Green was the one to pick up the slack , as he chipped in 24 points ( 10 - 13 FG , 0 - 1 3Pt , 4 - 8 FT ) , nine rebounds , six assists , three steals and three blocked shots , in 36 minutes . The Warriors gave up an uncharacteristic 17 turnovers , 14 of which came in the second half . Karl-Anthony Towns , Andrew Wiggins and Ricky Rubio each had big performances , as they almost showed - up the reigning champs . Towns posted 24 points ( 11 - 19 FG , 1 - 1 3Pt , 1 - 2 FT ) , 11 rebounds , two assists and a block . Ricky Rubio also notched a double - double , finishing with 20 points ( 5 - 9 FG , 3 - 7 3Pt , 7 - 7 FT ) , 11 assists , four rebounds and four steals , however he also gave up six turnovers . Wiggins added 25 points ( 8 - 21 FG , 1 - 3 3Pt , 8 - 11 FT ) , five rebounds , four assists , one steal and one blocked shot , in 40 minutes . The Timberwolves tallied 26 assists on 36 field goals , while shooting 44 percent from the field . Next , the Warriors will host the Los Angeles Clippers on Wednesday . The Timberwolves host the Kings on Wednesday ."
8,January,2016,Friday,2015,Barclays Center,Brooklyn,New York,13900,17700,1905,"The Orlando Magic ( 20 - 17 ) defeated the Brooklyn Nets ( 10 - 26 ) 83 - 77 on Friday . Ever since he regained a spot in the starting lineup at point guard in Elfrid Payton 's stead three games ago , Victor Oladipo has played with a renewed vigor and confidence.The talented guard has now posted 18 , 20 and 20 points , respectively , over those three contests , while shooting an outstanding 60 percent from the field during that span . Oladipo was stellar again Friday , sharing the team lead with 20 points and adding nine rebounds , a pair of assists , three steals and a block . Considering his recent performances , the Magic will certainly have a good problem on their hands upon Payton 's return to health from his ankle injury , as they 'll be faced with trying to get a talented backcourt trio that also includes Evan Fournier sufficient playing time . Nikola Vucevic was Oladipo 's co - leading scorer on the night with a 20 - point , 10 - rebound double - double that also included four assists , a pair of steals and a block . Unsurprisingly , the productive outing came against a Nets defense that has allowed the most points per game ( 22 ) to opposing centers this season . Fournier made it three starters with double - digit scoring by tallying 13 points , which he supplemented with three assists , a rebound and a pair of steals . Aaron Gordon had an efficient 14 - point , five - rebound effort off the bench over 23 minutes to lead the Orlando reserves . The Magic improved to 20 - 17 and are currently in second place in the Eastern Conference 's Southeast Division . They head home to face the Wizards on Saturday . The Nets ' ninth straight home loss was due in large part to the suffocating defense of an Orlando unit ranked in the top 10 in points allowed per game ( 99 ) . They stymied Brooklyn across the board , with Brook Lopez serving as the top scorer with a modest 17 points . He added eight rebounds , a steal and a block . Joe Johnson continued his solid offensive play of late with a serviceable 13 points , three assists , three rebounds and a steal . Shane Larkin and Thaddeus Young were able to contribute 12 and 11 points , respectively , with the former also pitching in four rebounds , three assists and a steal , and the latter hauling in nine boards and matching Larkin 's production in the other categories . Bojan Bogdanovic was notably held to two points , while Wayne Ellington scored eight to pace the Brooklyn bench . The Nets fell to 10 - 26 and remain in fourth place in the Eastern Conference 's Atlantic Division . They head to Detroit to take on the Pistons on Saturday night ."
10,January,2016,Sunday,2015,Wells Fargo Center,Philadelphia,Pennsylvania,19200,20500,1247,"The Cleveland Cavaliers ( 26 - 9 ) defeated the Philadelphia 76ers ( 4 - 36 ) 95 - 85 on Sunday . The Cavs likely got more than they bargained for from a game Sixers squad that played them tough through all four quarters . Philadelphia 's collective defensive effort may have been the most surprising aspect of the game overall , as they managed to hold a hot Cleveland offense to a mediocre 39 percent shooting performance from the field , and 28 percent from beyond the arc . To provide some more tangible perspective on the noteworthiness of the Sixers ' effort , one has to realize the Cavs had tallied 53 and 48 percent figures , respectively , in those same categories against the Timberwolves in their most recent contest , and had also scored over 120 points in their two previous games . Cleveland was able to pull out the hard - fought victory on the back of LeBron James , who turned in a 37 - point , seven - rebound , nine - assist effort that also included a pair of steals . The other starters ' scoring contributions paled in comparison , as Kevin Love was the next closest with 15 points . However , Love was outstanding on the glass against a vulnerable Philadelphia frontcourt , hauling in 15 rebounds and adding seven assists and two steals . J.R. Smith added 14 points , three rebounds and a steal , and drained another four three - pointers in the process . Tristan Thompson had his own double - double in another start at center , collecting 10 points and grabbing 10 boards . Kyrie Irving had a second consecutive quiet game , notching eight points , five rebounds , two assists , two steals and a block over 31 minutes . Although his contributions in non - scoring categories were certainly solid , Irving notably struggled from the field , draining only three of 15 shot attempts . The Cavs improved to 26 - 9 and remain atop the Eastern Conference 's Central Division . They now head to Dallas to take on the Mavericks on Tuesday . Philadelphia 's valiant effort was spearheaded by Jahlil Okafor 's 21 points , which he supplemented with seven rebounds . Ish Smith put together a second straight strong performance after a string of relatively quiet games , tallying a double - double with 18 points and 10 assists . He also added seven boards and a steal . Jerami Grant and Nik Stauskas could only put together a pair of six - point outings , while Hollis Thompson paced the Philadephia bench with eight points and three rebounds . The Sixers fell to 4 - 36 and remain in last place in the Eastern Conference 's Atlantic Division . They await the Chicago Bulls for a Thursday matchup ."
