day,month,year,dayname,season,stadium,city,state,attendance,capacity,game_id,summary
5,February,2016,Friday,2015,Amway Center,Orlando,Florida,16600,18800,1829,"The Los Angeles Clippers ( 33 - 17 ) defeated the Orlando Magic ( 21 - 28 ) 107 - 93 on Friday . In a turnover - laden affair , the Clippers were able to secure the victory on the back of productive performances from across their roster . Four starters tallied double - digit scoring , while two members of the second unit accomplished the feat as well . The two teams combined for 40 turnovers , with Los Angeles converting the 18 committed by the Magic into 30 points . A trio of Clippers guards - - Chris Paul , J.J. Redick and Jamal Crawford - - scored 20 points or better , and DeAndre Jordan had a double - double . Although the Magic made a run in the third quarter , Los Angeles pulled away with a 30 - 20 final period to seal the road win . Paul led the way with 21 points , six assists , four rebounds and four steals . Redick and Crawford were next with a pair of 20 - point tallies , with the former adding three rebounds and a steal , and the latter supplying a rebound , two assists and three thefts . Jordan 's double - double consisted of 12 points , 18 rebounds , an assist , a steal and three blocks , while Paul Pierce added 12 points of his own and threw in a trio of rebounds , an assist and a steal . Lance Stephenson also had double - digit points from the bench , tallying 13 and complementing them with three assists , a rebound and a steal . The Clippers remain in second place in the Western Conference 's Pacific Division . They travel to Miami to take on the Heat on Super Bowl Sunday . Orlando was spearheaded by Victor Oladipo 's 18 points , which he supplemented with three rebounds , three assists and a steal . Tobias Harris and Nikola Vucevic each had a pair of 13 - point outings , and both were near double - doubles . Harris amassed eight rebounds as well , while Vucevic hauled in nine boards , four assists and a pair of steals . Evan Fournier was productive off the bench with a 16 - point effort that also included six rebounds , three assists and a steal . The Magic remain in last place in the Eastern Conference 's Southeast Division . They 're home on Sunday to take on the Atlanta Hawks ."
9,November,2018,Friday,2018,American Airlines Arena,Miami,Florida,19600,19600,5254,"The Indiana Pacers defeated the Miami Heat , 110 - 102 , at American Airlines Arena on Friday evening . The game was a tale of two halves , with the short - handed Heat ( 5 - 6 ) forging a 59 - 51 first - half lead despite playing without Goran Dragic ( knee ) . However , the Pacers ( 8 - 5 ) turned it on coming out of intermission despite seeing Thaddeus Young get ejected for elbowing Kelly Olynyk after playing just 17 minutes . Indiana outscored Miami by a 59 - 43 margin over the final 24 minutes and excelled on both ends of the floor . The Pacers shot a stellar 54 percent from the floor while also eliciting 23 turnovers from their hosts . Both benches thrived in the contest , with the Indiana second unit generating 44 points and the Miami reserves posting 48 . Victor Oladipo led the Pacers with 22 points , a total he supplemented with 10 assists , five rebounds and four steals . Darren Collison and Domantas Sabonis turned in 17 points each , with the latter also supplying 11 rebounds . Bojan Bogdanovic poured in 16 points , while Cory Joseph turned in 14 points , five rebounds and two assists in 32 minutes . Olynyk paced the Heat with 20 points and added four boards and two assists . Josh Richardson shifted to point guard with Dragic out and produced 18 points , six assists and two steals . Tyler Johnson supplied 15 points , five assists , two rebounds and one block . Hassan Whiteside posted an 11 - point , 20 - rebound double - double . Justise Winslow and Rodney McGruder managed 11 points and five assists apiece . The Pacers remain on the road and head to the Lone Star State , where they 'll tangle with the Houston Rockets on Sunday night . The Heat remains home and faces the Washington Wizards on Saturday evening ."
4,December,2016,Sunday,2016,Chesapeake Energy Arena,Oklahoma City,Oklahoma,18200,18200,3498,"The league 's top two scorers had the chance to square off on Sunday , and they did not leave fans disappointed . For the Thunder , All-Star guard Russell Westbrook posted a line of 28 points , 17 rebounds , and 12 assists for his fifth consecutive triple - double . The streak is now Westbrook 's career - best and the longest by any player since Michael Jordan in 1989 . Westbrook recently became the first player since Oscar Robertson to average a triple - double heading into the month of December . Sunday 's performance marked Westbrook 's tenth triple - double in 21 games this season . Aside from Westbrook , bench big man Enes Kanter thrived for the Thunder on Sunday , scoring 17 points and pulling down 10 rebounds while shooting 7 - of - 13 . New Orleans big man Anthony Davis , meanwhile , expanded on his league - leading scoring average by pouring in 37 points against OKC . Davis added 15 rebounds , two steals , and four blocks . He saw little help from his teammates on Sunday , however . The rest of the Pelicans ' starting five combined for just 25 points , and the team shot only 37 percent in the game .The league 's top two scorers squared off in epic proportions on Sunday as the Oklahoma City Thunder defeated the visiting New Orleans Pelicans , 101 - 92 . The Thunder ( 13 - 8 ) now sit at five games above .500 and are narrowly trailing the Rockets and Grizzlies for the fourth - best record in the Western Conference . The bigger story from Sunday , however , was point guard Russell Westbrook 's fifth straight triple - double . Westbrook scored 28 points , had a whopping 17 rebounds , and dished out 12 assists . Westbrook 's streak of five games with a triple - double is the best of his career and the longest since Michael Jordan 's seven - game streak in 1989 . The All-Star 's effort helped to propel the Thunder to victory on Sunday , though solid perimeter defense advanced the team 's cause . The Pelicans were held to under 37 percent shooting from the field and 6 - of - 28 from three - point range . The Thunder offense , meanwhile , shot almost 47 percent on the night , with solid contributions from guard Victor Oladipo ( 15 points ) and bench big man Enes Kanter ( 17 points , 10 rebounds ) . For the Pelicans ( 7 - 14 ) , meanwhile , 37 points for league - leading scorer Anthony Davis was not enough to earn the win . In addition to the scoring output , Davis had 15 rebounds , two steals , and four blocks . The Pelicans struggled aside from Davis , however , as the rest of the starting five combined for just 25 points . The team also saw a rebounding deficit despite Davis 's strong performance on the boards , as the Thunder held a 59 - 51 advantage on the glass . The Thunder will visit the Atlanta Hawks on Monday , while the Pelicans will host the Memphis Grizzlies ."
28,October,2017,Saturday,2017,FedExForum,Memphis,Tennessee,17000,17800,3940,"The Memphis Grizzlies defeated the Houston Rockets , 103 - 89 , at FedEx Forum on Saturday night . The Grizzlies ( 5 - 1 ) were already responsible for the sole blemish Houston 's record coming in , having scored an eight - point road win against the Rockets ( 5 - 2 ) on Oct. 23 . The visitors therefore had some revenge on their mind ahead of Saturday 's contest , but once again , Memphis ' trademark suffocating defense led the way to victory . The home team limited the Rockets to 38 percent shooting and also goaded them into 17 turnovers , while committing only nine miscues of their own . Moreover , they were efficient offensively despite not seeing any starter log double - digit scoring , as they posted a 47 percent success rate from the field , including 42 percent from three - point range . Ryan Anderson surprisingly paced the Rockets , managing 22 points , seven rebounds and two blocks . James Harden had a quiet night by his lofty standards , tallying 20 points on just 6 - for - 19 shooting and adding eight assists , four rebounds and two steals . Clint Capela turned in a 12 - point , 12 - rebound double - double that also included one assist , one steal and one block . Trevor Ariza ( foot ) made a quicker - than - expected return to the court and supplied 10 points , seven rebounds and five assists . Bobby Brown led the bench with 11 points and added one steal . Chandler Parsons encouragingly led the Grizzlies with 24 points in 19 minutes off the bench , a total he supplemented with one rebound , one assist and one steal . Mario Chalmers registered 15 points , four assists , two rebounds and two steals in 25 reserve minutes . Tyreke Evans was the third member of the second unit to put together a productive night , providing 14 points , seven rebounds , four assists and one steal . Jarrell Martin led the starters with a modest nine points , three rebounds , one assist and two steals . Mike Conley and James Ennis III generated matching eight - point efforts , with the former adding three rebounds , three assists and a block while the latter brought down seven rebounds and dished out three dimes . Marc Gasol totaled six points , seven rebounds , five assists , four blocks and one steal . The Rockets head back home to take on the Philadelphia 76ers on Monday evening , while the Grizzlies remain home to tangle with the Charlotte Hornets on that same night ."
6,March,2019,Wednesday,2018,Smoothie King Center,New Orleans,Louisiana,14700,16900,5730,"The Utah Jazz defeated the host New Orleans Pelicans , 114 - 104 , at Smoothie King Center on Wednesday evening . The contest got out to a competitive start , with multiple lead changes through the first quarter , before the Jazz took a 25 - 23 lead into the second . The Jazz turned it up in the second quarter , where they outscored the Pelicans by nine , to push their lead to 11 by halftime . The Pelicans were not done though , as they came out strong in the third and trimmed the deficit to nine by the start of the fourth . However , the Jazz kicked off the fourth with a run and pushed their lead to 17 , four minutes into the quarter . The Pelicans managed to get back within single digits , but the Jazz held a comfortable advantage the rest of the way , en route to a solid road win . Derrick Favors led the Jazz with 25 points , five rebounds , two blocks , one assist and one steal , in 24 minutes . Rudy Gobert tallied 22 points , 13 rebounds , four blocks and a steal , while Donovan Mitchell finished with 22 points , seven rebounds , two steals , an assist and a block . The Jazz shot 52 percent from the field , including 8 - of - 30 from long range . Meanwhile , Julius Randle led the Pelicans with 23 points , six rebounds , three assists and a block , in 35 minutes . Jrue Holiday added 16 points , three rebounds , three assists and two steals , while Anthony Davis added 16 points , five rebounds , three assists , two blocks and a steal . The Pelicans shot 46 percent from the field , including 9 - of - 24 from deep . The Pelicans ( 30 - 37 ) will look to bounce back as they play host to the Raptors on Friday . The Jazz ( 37 - 27 ) take on the Grizzlies in Memphis on Friday ."
8,February,2017,Wednesday,2016,FedExForum,Memphis,Tennessee,16000,17800,2733,"Suns point guard Eric Bledsoe is having by far the most productive season of his career so far , making this cold stretch he has been on over his last four games even more uncharacteristic . His performance Wednesday night was the worst of them all , with Bledsoe shooting just 3 - of - 15 while still managing to come up with 16 points thanks to some good free throw shooting . But this is starting to become a trend , as Bledsoe has shot 13 - of - 47 ( 28 percent ) from the field over his last four contests . Despite those horrific shooting numbers , Bledsoe has still managed to average 16 points per game over that stretch , but that is only because of his ability to get to the line . Bledsoe has shot 31 - of - 35 ( 89 percent ) from the charity stripe in those four games , effectively covering up how much the point guard has really struggled as of late .The Memphis Grizzlies defeated the Phoenix Suns , 110 - 91 , on Wednesday at FedExForum . This was a wire - to - wire win for the Grizzlies ( 33 - 22 ) , as they have now won three straight games and six of their last seven . Mike Conley led the way for Memphis , shooting an impressive 4 - of - 5 from behind the arc and 7 - of - 10 from the field overall . Marc Gasol added 19 points , seven rebounds and three assists , and six total Grizzlies ended up scoring in double - figures . As a team , Memphis managed to do heavy damage from long range , shooting a hot 14 - of - 24 ( 58 percent ) from behind the arc . The victory did come , however , with a bit of recklessness , as the Grizzlies recorded 22 total turnovers on just 24 assists . For the Suns ( 16 - 37 ) , their struggles continued , as Wednesday 's loss was their third in a row and eighth in the last nine games . And this one was one of the more forgetful outings , as the team shot just 33 percent from the field and 22 percent from behind the arc . They also managed to play rather recklessly , recording just 13 assists to their 15 total turnovers . Devin Booker ended up leading the way with a team - high 20 points , while Eric Bledsoe had a disastrous night shooting from the field , going just 3 - of - 15 en route to scoring 16 points . Up next , the Grizzlies will look to keep rolling at home against the Warriors on Friday , while the Suns will look to turn things around Friday at home against the Bulls ."
12,January,2018,Friday,2017,Smoothie King Center,New Orleans,Louisiana,17000,16900,4489,"The New Orleans Pelicans defeated the visiting Portland Trail Blazers , 119 - 113 , at Smoothie King Center on Friday evening . The Trail Blazers got out to a good start , with a 19 - 11 lead halfway through the first . However , the Pelicans turned it up and rallied to take a 31 - 25 lead by the end of one . The teams fought hard through the second quarter , where the Blazers were able to make up some ground and bring it to a tie game , at 61 by halftime . The third quarter was much like the first , with the Blazers getting out to a bit of a lead , before the Pelicans turned the tables , taking a two - point lead into the final frame . New Orleans managed to maintain a one , or two possession lead the rest of the way , and pulled away in the last minutes , to seal the win . Anthony Davis led the Pelicans with 36 points , nine rebounds , two assists and two blocks , in 40 minutes . DeMarcus Cousins followed up with 24 points , 19 rebounds , eight assists and two blocks , in 36 minutes . Jrue Holiday added 25 points , six assists , five rebounds and four steals , in 36 minutes . The Pelicans shot 55 percent from the field , including 7 - of - 19 from long range . Meanwhile , Damian Lillard and C.J . McCollum tallied 23 points each , while Al-Farouq Aminu finished with 19 points , 11 rebounds and three steals . Jusuf Nurkic added 19 points , five rebounds , three blocks , two assists and one steal . The Trail Blazers shot 45 percent from the field , including 14 - of - 42 from long range . The Trail Blazers ( 22 - 20 ) will look to bounce back as they take on the Timberwolves in Minnesota on Sunday . The Pelicans ( 21 - 20 ) take on the Knicks in New York on Sunday ."
24,November,2017,Friday,2017,Chesapeake Energy Arena,Oklahoma City,Oklahoma,18200,18200,4724,"The Detroit Pistons defeated the host Oklahoma City Thunder , 99 - 98 , at Chesapeake Energy Arena on Friday . This was a tale of two halves , as the Pistons overcame a 10 - point halftime deficit to defeat Oklahoma City on the road . In fact , the Pistons held the Thunder to just 39 points in the second half , as they scored 50 on their end . Detroit 's only lead actually came in the fourth quarter , as it was within a five - point margin for the entirety of the fourth quarter . The key for Detroit was defense , as they held Oklahoma City to 42 percent from the field and 23 percent from three - point range . The Pistons also took advantage of poor transition defense from the Thunder , as they won the fastbreak differential , 19 - 7 . The Pistons ( 12 - 6 ) rode Andre Drummond in their comeback win , as he led the team with 17 points , 14 rebounds , three assists and two blocks . Tobias Harris accrued 13 points , seven rebounds and three assists . Reggie Jackson totaled 12 points , three rebounds and four assists . Avery Bradley and Stanley Johnson each scored 11 points to cap off the five starters . Ish Smith was the only bench player in double figures , as he provided 15 points , three rebounds and four assists . The Thunder ( 7 - 9 ) were led by Russell Westbrook , as he collected 27 points , 11 rebounds , 11 assists and three steals en route to a triple - double . Carmelo Anthony amassed 20 points , eight rebounds and three assists . Steven Adams recorded a 12 - point , 12 - rebound double - double . Paul George accumulated 16 points , two rebounds , two assists , five steals and two blocks . Oklahoma City will have to play again on Saturday , as they travel to face the Dallas Mavericks . As for Detroit , they play the Boston Celtics on the road on Monday for their next fixture ."
30,October,2015,Friday,2015,Philips Arena,Atlanta,Georgia,17000,18100,1519,"The Atlanta Hawks ( 2 - 1 ) were able to pull out a 97 - 94 home victory over the Charlotte Hornets ( 0 - 2 ) on Friday . After a tight first half , the Hawks were able to claim a 14 - point lead with under six minutes remaining in the fourth quarter , but a run of nine unanswered points by the Hornets resulted in an outcome that was too close for comfort . Still , Atlanta was able to make enough stops down the stretch to deny the late rally , as Kemba Walker missed the game - tying attempt from 25 feet to give Atlanta the victory . Though he only scored a combined five points in the team 's first two games , Kent Bazemore was the Hawks ' surprising scoring leader Friday , pouring in 19 points on 7 - for - 13 shooting , including a 4 - for - 5 mark from three - point range . He also tacked on nine rebounds for good measure , a total that was only second to Paul Millsap 's 10 boards for the team lead . Millsap also accrued 18 points , while Al Horford ( 18 ) , Jeff Teague ( 14 ) , and Dennis Schroder ( 14 ) rounded out the double - digit scorers . Schroder made his first start of the season while Kyle Korver was rested for maintenance purposes in the second game of a back - to - back set . The winless Hornets were foiled by their top two offensive threats suffering from poor shooting nights . Al Jefferson and Kemba Walker both shot 5 - for - 15 from the field to combine for just 23 points between them , while no other scorer on the team exceeded 14 points . Charlotte was at least able to win the battle of the boards , 54 - 45 , thanks to double - digit rebound efforts from Marvin Williams ( 12 ) , Nicolas Batum ( 11 ) , and Jefferson ( 11 ) . The two teams will get together for a rematch Sunday , with that game to take place in Atlanta ."
1,December,2016,Thursday,2016,FedExForum,Memphis,Tennessee,13300,17800,2716,"There 's been no team who has dealt with as many significant injuries as the Grizzlies , but they continue to get it done . Despite trailing by 13 with 3:29 left , Memphis ended the game on a 24 - 10 run to win by one . Turnovers really killed Orlando , as they committed 18 of them , while forcing just 10 . Evan Fouriner had one of his best games of the season though , scoring 28 points on 11 - of - 14 shooting in the defeat . Nikola Vucevic recorded a double - double off the bench , totaling 18 points , 11 rebounds and three blocks . Marc Gasol was the hero , as he hit two free - throws to take the lead with 11 seconds left . Gasol finished the game with 25 points , three assists and five blocks . Troy Daniels and Jarell Martin were great off the bench , as Daniels scored 19 points and Martin grabbed 10 boards . The total of 190 nearly suffered a horrific beat , as there were 34 points scored in the final three - plus minutes to land on 189 .The Memphis Grizzlies came back to defeat the Orlando Magic , 95 - 94 , at FedEx Forum on Thursday . Defense is the first priority for both of these teams and it 's clear through this scoreline . Memphis shot just 42 percent from the field and 39 percent from three - point range , while Orlando shot 45 percent from the field and 25 percent from three - point range . The Magic led 84 - 71 with a little over three minutes left , but the Grizzlies ended the game on a 24 - 10 run to win by one . Strangely . the two teams combined for 114 points in the first and fourth quarters , while combining for just 75 points in the second and third quarters . Turnovers are what really hurt the Magic , as they committed 18 , while forcing just 10 from the Grizzlies . Orlando ( 7 - 12 ) has made some adjustments to their rotation and the results have been mixed thus far . Nikola Vucevic continues to thrive in his new role off the bench though , as he tallied 18 points , 11 rebounds and three blocks in the defeat . Evan Fouriner led the team in scoring , dropping 28 points on 11 - of - 14 shooting . Serge Ibaka was the only other starter in double figures , totaling 11 points , eight rebounds and four blocks . Bismack Biyombo scored just three points , but grabbed 14 rebounds as the starting center . Jeff Green provided 14 points on 5 - of - 8 shooting off the bench . Orlando plays again on Friday , as they face the Philadelphia 76ers on the road . Memphis ( 12 - 8 ) continues to play shorthanded and they wo n't allow that to slow them down . Marc Gasol proceeds to carry the load in the absence of Mike Conley and Chandler Parsons , as he led the team with 25 points , two rebounds , three assists and five blocks in the win . Andrew Harrison finished with 11 points , four rebounds and eight assists while filling - in for Conley . Troy Daniels was second on the team in scoring , dropping 19 points on 6 - of - 9 shooting off the bench . Jarell Martin also had a nice game off the bench , accruing six points and 10 rebounds . Memphis will return to action on Saturday , when they host the surprising Los Angeles Lakers ."
